,params,mean_test_f1,mean_test_recall,mean_test_precision
3633,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 26, 'splitter': 'random'}",0.15526315789473683,0.1010989010989011,0.39333333333333337
3634,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 27, 'splitter': 'best'}",0.1793374925727867,0.1197802197802198,0.42777777777777776
3635,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 27, 'splitter': 'random'}",0.15666666666666668,0.1010989010989011,0.4333333333333333
3636,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 28, 'splitter': 'best'}",0.1793374925727867,0.1197802197802198,0.42777777777777776
3637,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 28, 'splitter': 'random'}",0.02,0.015384615384615385,0.02857142857142857
3638,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 29, 'splitter': 'best'}",0.18064468211527038,0.1197802197802198,0.45111111111111113
3639,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 29, 'splitter': 'random'}",0.05523809523809524,0.02967032967032967,0.4
3640,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.263342849101363,0.1934065934065934,0.4325396825396825
3641,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'random'}",0.2554548135043491,0.16263736263736267,0.7033333333333334
3642,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.2750056960583277,0.20769230769230768,0.41682539682539677
3643,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'random'}",0.2707843137254902,0.17912087912087912,0.62
3644,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.2472408293460925,0.1791208791208791,0.4111111111111111
3645,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'random'}",0.26421052631578945,0.19230769230769232,0.4238095238095238
3646,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'splitter': 'best'}",0.2750056960583277,0.20769230769230768,0.41682539682539677
3647,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'splitter': 'random'}",0.22506265664160402,0.14725274725274726,0.72
3648,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 6, 'splitter': 'best'}",0.2622784233310549,0.1934065934065934,0.41682539682539677
3649,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 6, 'splitter': 'random'}",0.2473684210526316,0.16483516483516483,0.6333333333333333
3650,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.28239046814898205,0.20769230769230768,0.4611111111111111
3651,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 7, 'splitter': 'random'}",0.18249742002063982,0.11758241758241758,0.45
3652,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.2750056960583277,0.20769230769230768,0.41682539682539677
3653,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 8, 'splitter': 'random'}",0.21915966386554625,0.14725274725274726,0.5928571428571429
3654,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 9, 'splitter': 'best'}",0.2638896707008162,0.19340659340659339,0.4411111111111111
3655,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 9, 'splitter': 'random'}",0.17006265664160403,0.1043956043956044,0.5866666666666667
3656,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'splitter': 'best'}",0.28239046814898205,0.20769230769230768,0.4611111111111111
3657,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'splitter': 'random'}",0.17852941176470588,0.10439560439560439,0.6333333333333333
3658,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 11, 'splitter': 'best'}",0.24676463886990202,0.178021978021978,0.4387301587301587
3659,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 11, 'splitter': 'random'}",0.22050420168067228,0.14835164835164835,0.5333333333333333
3660,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 12, 'splitter': 'best'}",0.22771701982228296,0.16373626373626374,0.4101587301587301
3661,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 12, 'splitter': 'random'}",0.1885500515995872,0.11758241758241757,0.52
3662,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 13, 'splitter': 'best'}",0.24676463886990202,0.178021978021978,0.4387301587301587
3663,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 13, 'splitter': 'random'}",0.07746031746031747,0.045054945054945054,0.44000000000000006
3664,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 14, 'splitter': 'best'}",0.23291334396597554,0.16373626373626374,0.4444444444444445
3665,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 14, 'splitter': 'random'}",0.1752543122512163,0.10329670329670329,0.7666666666666666
3666,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15, 'splitter': 'best'}",0.23607123870281765,0.16373626373626374,0.4644444444444444
3667,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 15, 'splitter': 'random'}",0.11019607843137254,0.07472527472527472,0.35238095238095235
